2023-03-20 오전 2:54:25 [11752]  <Information>  'startdate : 2022-06-16 오전 12:00:00' 

2023-03-20 오전 2:54:25 [11752]  <Information>  'enddate : 2023-03-20 오후 11:59:59' 

2023-03-20 오전 2:54:26 [11752]  <Information>  'PatientGridSelectionChanged Enter' 

2023-03-20 오전 2:54:26 [11752]  <Information>  'GetStudyHistoryGrid Enter' 

2023-03-20 오전 2:54:26 [11752]  <Information>  'GetStudyHistoryGrid Leave' 

2023-03-20 오전 2:54:26 [11752]  <Information>  'GetPatient Info: SELECT PatientID, LastName, Sex,        BirthDate,  PersonalID, 
                                           PWardName, PWard,    OrderDept,  OrderDeptName,    
                                           ORDDRID, ORDDRNAME 
                                     FROM Patient  WHERE ( PatientID = @PatientID OR LastName = @LastName ) AND Removed = 0 ' 

2023-03-20 오전 2:54:26 [11752]  <Information>  'PatientGridSelectionChanged Arrive' 

2023-03-20 오전 2:54:34 [11752]  <Information>  'PatientGridSelectionChanged Enter' 

2023-03-20 오전 2:54:34 [11752]  <Information>  'GetStudyHistoryGrid Enter' 

2023-03-20 오전 2:54:34 [11752]  <Information>  'GetStudyHistoryGrid Leave' 

2023-03-20 오전 2:54:34 [11752]  <Information>  'GetPatient Info: SELECT PatientID, LastName, Sex,        BirthDate,  PersonalID, 
                                           PWardName, PWard,    OrderDept,  OrderDeptName,    
                                           ORDDRID, ORDDRNAME 
                                     FROM Patient  WHERE ( PatientID = @PatientID OR LastName = @LastName ) AND Removed = 0 ' 

2023-03-20 오전 2:54:34 [11752]  <Information>  'PatientGridSelectionChanged Arrive' 

2023-03-20 오전 2:54:38 [11752]  <Information>  'PatientGridSelectionChanged Enter' 

2023-03-20 오전 2:54:38 [11752]  <Information>  'PatientGridSelectionChanged Arrive' 

2023-03-20 오전 2:54:42 [11752]  <Information>  'PatientGridSelectionChanged Enter' 

2023-03-20 오전 2:54:42 [11752]  <Information>  'GetStudyHistoryGrid Enter' 

2023-03-20 오전 2:54:42 [11752]  <Information>  'GetStudyHistoryGrid Leave' 

2023-03-20 오전 2:54:42 [11752]  <Information>  'GetPatient Info: SELECT PatientID, LastName, Sex,        BirthDate,  PersonalID, 
                                           PWardName, PWard,    OrderDept,  OrderDeptName,    
                                           ORDDRID, ORDDRNAME 
                                     FROM Patient  WHERE ( PatientID = @PatientID OR LastName = @LastName ) AND Removed = 0 ' 

2023-03-20 오전 2:54:42 [11752]  <Information>  'PatientGridSelectionChanged Arrive' 

2023-03-20 오전 3:42:26 [11752]  <Information>  'PatientGridSelectionChanged Enter' 

2023-03-20 오전 3:42:26 [11752]  <Information>  'GetStudyHistoryGrid Enter' 

2023-03-20 오전 3:42:26 [11752]  <Information>  'GetStudyHistoryGrid Leave' 

2023-03-20 오전 3:42:26 [11752]  <Information>  'GetPatient Info: SELECT PatientID, LastName, Sex,        BirthDate,  PersonalID, 
                                           PWardName, PWard,    OrderDept,  OrderDeptName,    
                                           ORDDRID, ORDDRNAME 
                                     FROM Patient  WHERE ( PatientID = @PatientID OR LastName = @LastName ) AND Removed = 0 ' 

2023-03-20 오전 3:42:26 [11752]  <Information>  'PatientGridSelectionChanged Arrive' 

2023-03-20 오전 3:48:39 [11752]  <Information>  'PatientGridSelectionChanged Enter' 

2023-03-20 오전 3:48:39 [11752]  <Information>  'GetStudyHistoryGrid Enter' 

2023-03-20 오전 3:48:39 [11752]  <Information>  'GetStudyHistoryGrid Leave' 

2023-03-20 오전 3:48:39 [11752]  <Information>  'GetPatient Info: SELECT PatientID, LastName, Sex,        BirthDate,  PersonalID, 
                                           PWardName, PWard,    OrderDept,  OrderDeptName,    
                                           ORDDRID, ORDDRNAME 
                                     FROM Patient  WHERE ( PatientID = @PatientID OR LastName = @LastName ) AND Removed = 0 ' 

2023-03-20 오전 3:48:39 [11752]  <Information>  'PatientGridSelectionChanged Arrive' 

2023-03-20 오전 3:48:43 [11752]  <Information>  'Export CD' 

2023-03-20 오전 3:48:43 [11752]  <Information>  'Add dir data list : StudyKey(52), SeriesKey(180), FileCount(2)' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Start ExportCD' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'ExportCD : Load and save local file.' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Make Dicom DIR' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Save to local : StudyKey(52), SeriesKey(180), ImageCount(2)' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Patient ID : 20280318' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify Dicom infomation.' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify SpecificCharacterSet' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify StudyInstanceUID' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify SeriesInstanceUID' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientID' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientSex' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify StudyDescription' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify SeriesDescription' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientName' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify OtherPatientNames' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientBirthDate' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientAge : Leadtools.Dicom.DicomAgeValue' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Add SOPInstanceUID to list : 1.3.6.1.4.1.19179.1.144240935922147.3.31382.65996' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify InstanceNumber' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'InstitutionName : ''' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Change DicomDataSet : \\115.145.56.182\Main_Storage\Storage1\2023\03\10\20230310\DR\VIEWREX\1\I000001_2082.dcm' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Delete LUT Parameter' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Create Series Folder' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Create Series Folder : C:\Users\Administrator\AppData\Local\Temp\ViewRexBurnImage_230320034849\DCMData\20280318\20220703\Series000' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Export File Path : C:\Users\Administrator\AppData\Local\Temp\ViewRexBurnImage_230320034849\DCMData\20280318\20220703\Series000\VR00001.dcm' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Data Size : 4467182' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify Dicom infomation.' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify SpecificCharacterSet' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify StudyInstanceUID' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify SeriesInstanceUID' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientID' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientSex' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify StudyDescription' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify SeriesDescription' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientName' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify OtherPatientNames' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientBirthDate' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify PatientAge : Leadtools.Dicom.DicomAgeValue' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Add SOPInstanceUID to list : 1.3.6.1.4.1.19179.1.144240935922147.3.31800.66001' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Modify InstanceNumber' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'InstitutionName : ''' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Change DicomDataSet : \\115.145.56.182\Main_Storage\Storage1\2023\03\10\20230310\DR\VIEWREX\1\I000002_2083.dcm' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Delete LUT Parameter' 

2023-03-20 오전 3:48:49 [11752]  <Information>  'Create Series Folder' 

